metric_name,display_name,description,derivable,computed_from
force_mean_medium,force average instrument - FFB medium,The average detected force for an instrument install on an arm below 6.5 N with haptic setting medium.,no,
force_mean_off,force average instrument - FFB off,The average detected force for an instrument install on an arm below 6.5 N with haptic setting off.,no,
force_mean_total,force average total,The average force sensed on all instruments.,no,
force_mean_total_medium,force average total - FFB medium,The average force sensed on all instruments below 6.5 N with haptic setting medium.,no,
force_mean_total_off,force average total - FFB off,The average force sensed on all instruments below 6.5 N with haptic setting off.,no,
hand_clutch_cnt,hand controller clutch count,The number of hand controller clutches performed on this console.,no,
hand_clutch_freq,hand controller clutch rate,The rate of hand controller clutches performed on this console.,no,
hand_clutch_freq2,hand controller clutch rate,The rate of hand controller clutches (while either hand controller was in motion) performed on this console.,no,
head_out_cnt,head out count,The number of head out events on this console.,no,
head_out_freq,head out rate,The rate of head out events on this console.,no,
head_out_freq2,head out rate,The rate of head out events (while either hand controller was in motion) on this console.,no,
high_force_dur,instrument force duration above 6.5N per arm,The time duration for a haptic instrument that applies force above 6.5 N for an arm.,no,
high_force_dur_medium,instrument force duration above 6.5N per arm - FFB medium,The time duration for a haptic instrument that applies force above 6.5 N for an arm with haptic setting medium.,no,
high_force_dur_off,instrument force duration above 6.5N per arm - FFB off,The time duration for a haptic instrument that applies force above 6.5 N for an arm with haptic setting off.,no,
high_force_percentage,time above 6.5N instrument,The percentage of time with force applied above 6.5 N for an instrument install on an arm.,no,
high_force_percentage_all,time above 6.5N,The percentage of time with force applied above 6.5 N for an instrument.,no,
high_force_percentage_all_medium,time above 6.5N - FFB medium,The Percentage of time with force applied above 6.5 N for an instrument with haptic setting medium.,no,
high_force_percentage_all_off,time above 6.5N - FFB off,The Percentage of time with force applied above 6.5 N for an instrument with haptic setting off.,no,
high_force_percentage_medium,time above 6.5N instrument - FFB medium,The Percentage of time with force applied above 6.5 N for an instrument install on an arm with haptic setting medium.,no,
high_force_percentage_off,time above 6.5N instrument - FFB off,The Percentage of time with force applied above 6.5 N for an instrument install on an arm  with haptic setting off.,no,
high_force_percentage_total,time above 6.5N total,The percentage of time with force applied above 6.5 N for all instruments.,no,
high_force_percentage_total_medium,time above 6.5N total - FFB medium,The Percentage of time with force applied above 6.5 N on all instruments with haptic settinhg off.,no,
high_force_percentage_total_off,time above 6.5N total - FFB off,The Percentage of time with force applied above 6.5 N on all instruments with haptic settinhg off.,no,
jerk,instrument smoothness (jerk) per arm,"A measurement of smoothness that sums jerk over time, is normalized for the length of time and max speed, and then is transformed by taking the negative log (a larger value corresponds to smoother movements) on this arm with this instrument.",no,
jerk_all,instrument smoothness (jerk),"A measurement of smoothness for this instrument type on any arm, which sums jerk over time, normalizes it for the duration and maximum speed, and then transforms it by taking the negative log (a larger value corresponds to a smoother movement).",no,
jerk_new,instrument smoothness (jerk) per arm,"A measurement of smoothness for this instrument type on any arm, which sums jerk over time, normalizes it for the duration and maximum speed, and then transforms it by taking the negative log (a larger value corresponds to a smoother movement).",no,
jerk_new_all,instrument smoothness (jerk),"A measurement of smoothness for this instrument type on any arm, which sums jerk over time, normalizes it for the duration and maximum speed, and then transforms it by taking the negative log (a larger value corresponds to a smoother movement).",no,
norm_speed,normalized instrument speed per arm,The normalized speed of the tip of this instrument type on this arm (while it was in motion).,no,
norm_speed_all,normalized instrument speed,The normalized speed of the tip of this instrument type on any arm (while it was in motion).,no,
